alphaCode,commonName,scientificName,ebirdCode
WLTA,White-lined Tanager,Tachyphonus rufus,whltan1
WLGN,White-lored Gnatcatcher,Polioptila albiloris,whlgna2
WNBR,White-naped Brushfinch,Atlapetes albinucha,wnbfin1
WNSW,White-naped Swift,Streptoprocne semicollaris,whnswi1
WNCR,White-necked Crow,Corvus leucognaphalus,whncro1
WNJA,White-necked Jacobin,Florisuga mellivora,whnjac1
WNPE,White-necked Petrel,Pterodroma cervicalis,whnpet
WNPU,White-necked Puffbird,Notharchus hyperrhynchus,whnpuf2
WRFL,White-ringed Flycatcher,Conopias albovittatus,whrfly
WRMA,White-ruffed Manakin,Corapipo altera,whrman1
WRSA,White-rumped Sandpiper,Calidris fuscicollis,whrsan
WRSH,White-rumped Shama,Copsychus malabaricus,whrsha
WSTA,White-shouldered Tanager,Loriotus luctuosus,whstan1
WSWO,White-striped Woodcreeper,Lepidocolaptes leucogaster,whswoo1
WTEA,White-tailed Eagle,Haliaeetus albicilla,whteag
WTEM,White-tailed Emerald,Microchera chionura,whteme1
WTHA,White-tailed Hawk,Geranoaetus albicaudatus,whthaw
WTAH,White-tailed Hummingbird,Eupherusa poliocerca,whthum1
WTKI,White-tailed Kite,Elanus leucurus,whtkit
WTNI,White-tailed Nightjar,Hydropsalis cayennensis,whtnig1
WTPT,White-tailed Ptarmigan,Lagopus leucura,whtpta1
WTAT,White-tailed Trogon,Trogon chionurus,whttro1
WTTR,White-tailed Tropicbird,Phaethon lepturus,whttro
WTGS,White-thighed Swallow,Atticora tibialis,whtswa1
WTCR,White-throated Crake,Laterallus albigularis,whtcra1
WTFL,White-throated Flycatcher,Empidonax albigularis,whtfly1
WTJA,White-throated Jay,Cyanolyca mirabilis,whtjay1
WTMJ,White-throated Magpie-Jay,Cyanocorax formosus,wtmjay1
WTMG,White-throated Mountain-gem,Lampornis castaneoventris,wtmgem1
WTNE,White-throated Needletail,Hirundapus caudacutus,whtnee
WTST,White-throated Shrike-Tanager,Lanio leucothorax,wtstan1
WTRS,White-throated Spadebill,Platyrinchus mystaceus,whtspa1
WTSP,White-throated Sparrow,Zonotrichia albicollis,whtspa
WTSW,White-throated Swift,Aeronautes saxatalis,whtswi
WTTH,White-throated Thrush,Turdus assimilis,whtrob1
WTTO,White-throated Towhee,Melozone albicollis,whttow1
WTDO,White-tipped Dove,Leptotila verreauxi,whtdov
WTSI,White-tipped Sicklebill,Eutoxeres aquila,whtsic1
WVEU,White-vented Euphonia,Euphonia minuta,whveup1
WVPL,White-vented Plumeleteer,Chalybura buffonii,whvplu1
WWPU,White-whiskered Puffbird,Malacoptila panamensis,whwpuf1
WWBE,White-winged Becard,Pachyramphus polychopterus,whwbec1
WWCR,White-winged Crossbill,Loxia leucoptera,whwcro
WWDO,White-winged Dove,Zenaida asiatica,whwdov
WWPA,White-winged Parakeet,Brotogeris versicolurus,whwpar
WWSC,White-winged Scoter,Melanitta deglandi,whwsco2
WWTA,White-winged Tanager,Piranga leucoptera,whwtan1
WWTE,White-winged Tern,Chlidonias leucopterus,whwter
WWWA,White-winged Warbler,Xenoligea montana,whwwar1
WHOS,Whooper Swan,Cygnus cygnus,whoswa
WHCR,Whooping Crane,Grus americana,whocra
WHMO,Whooping Motmot,Momotus subrufescens,bucmot3
WITU,Wild Turkey,Meleagris gallopavo,wiltur
WILL,Willet,Tringa semipalmata,willet1
WISA,Williamson's Sapsucker,Sphyrapicus thyroideus,wilsap
WIFL,Willow Flycatcher,Empidonax traillii,wilfly
WIPT,Willow Ptarmigan,Lagopus lagopus,wilpta
WILW,Willow Warbler,Phylloscopus trochilus,wlwwar
WIPH,Wilson's Phalarope,Phalaropus tricolor,wilpha
WIPL,Wilson's Plover,Anarhynchus wilsonia,wilplo
WISN,Wilson's Snipe,Gallinago delicata,wilsni1
WISP,Wilson's Storm-Petrel,Oceanites oceanicus,wispet
WIWA,Wilson's Warbler,Cardellina pusilla,wlswar
WTHH,Wine-throated Hummingbird,Selasphorus ellioti,withum1
WBAA,Wing-banded Antbird,Myrmornis torquata,wibant1
WIWR,Winter Wren,Troglodytes hiemalis,winwre3
WODU,Wood Duck,Aix sponsa,wooduc
WOSA,Wood Sandpiper,Tringa glareola,woosan
WOST,Wood Stork,Mycteria americana,woosto
WOTH,Wood Thrush,Hylocichla mustelina,woothr
WOWA,Wood Warbler,Phylloscopus sibilatrix,woowar
WOSJ,Woodhouse's Scrub-Jay,Aphelocoma woodhouseii,wooscj2
WEWA,Worm-eating Warbler,Helmitheros vermivorum,woewar1
WOSP,Worthen's Sparrow,Spizella wortheni,worspa
WRET,Wrenthrush,Zeledonia coronata,wrenth1
WREN,Wrentit,Chamaea fasciata,wrenti
XAHU,Xantus's Hummingbird,Basilinna xantusii,xanhum
YEBI,Yellow Bittern,Botaurus sinensis,yelbit
YEGR,Yellow Grosbeak,Pheucticus chrysopeplus,yelgro
YERA,Yellow Rail,Coturnicops noveboracensis,yelrai
YETY,Yellow Tyrannulet,Capsiempis flaveola,yeltyr1
YBOR,Yellow-backed Oriole,Icterus chrysater,yebori1
YBTA,Yellow-backed Tanager,Hemithraupis flavicollis,yebtan1
YBEL,Yellow-bellied Elaenia,Elaenia flavogaster,yebela1
YBFL,Yellow-bellied Flycatcher,Empidonax flaviventris,yebfly
YBSA,Yellow-bellied Sapsucker,Sphyrapicus varius,yebsap
YBSE,Yellow-bellied Seedeater,Sporophila nigricollis,yebsee1
YBSI,Yellow-bellied Siskin,Spinus xanthogastrus,yebsis1
YBTY,Yellow-bellied Tyrannulet,Ornithion semiflavum,yebtyr1
YBAM,Yellow-billed Amazon,Amazona collaria,yebpar1
YBIC,Yellow-billed Cacique,Amblycercus holosericeus,yebcac1
YBCA,Yellow-billed Cardinal,Paroaria capitata,yebcar
YBCO,Yellow-billed Cotinga,Carpodectes antoniae,yebcot1
YBCU,Yellow-billed Cuckoo,Coccyzus americanus,yebcuc
YBLO,Yellow-billed Loon,Gavia adamsii,yebloo
YBMA,Yellow-billed Magpie,Pica nuttalli,yebmag
YBTE,Yellow-billed Tern,Sternula superciliaris,yebter2
YBSB,Yellow-breasted Bunting,Emberiza aureola,yebbun
YBCH,Yellow-breasted Chat,Icteria virens,yebcha
YBCR,Yellow-breasted Crake,Laterallus flaviventer,yebcra1
YBWB,Yellow-browed Bunting,Emberiza chrysophrys,yebbun1
YBSV,Yellow-browed Shrike-Vireo,Vireolanius eximius,ybsvir1
YBWA,Yellow-browed Warbler,Phylloscopus inornatus,yebwar3
YCPA,Yellow-chevroned Parakeet,Brotogeris chiriri,yecpar
YCCH,Yellow-collared Chlorophonia,Chlorophonia flavirostris,yecchl1
YCAM,Yellow-crowned Amazon,Amazona ochrocephala,ywcpar
YCBI,Yellow-crowned Bishop,Euplectes afer,yecbis
YCEU,Yellow-crowned Euphonia,Euphonia luteicapilla,yeceup1
YCNH,Yellow-crowned Night Heron,Nyctanassa violacea,ycnher
YCTY,Yellow-crowned Tyrannulet,Tyrannulus elatus,yectyr1
YETO,Yellow-eared Toucanet,Selenidera spectabilis,yeetou1
YEJU,Yellow-eyed Junco,Junco phaeonotus,yeejun
YFGR,Yellow-faced Grassquit,Tiaris olivaceus,yefgra1
YFGU,Yellow-footed Gull,Larus livens,yefgul
YFCA,Yellow-fronted Canary,Crithagra mozambica,yefcan
YGBR,Yellow-green Brushfinch,Atlapetes luteoviridis,yegfin1
YGGR,Yellow-green Grosbeak,Caryothraustes canadensis,yeggro1
YGTY,Yellow-green Tyrannulet,Phylloscartes flavovirens,yegtyr1
YGVI,Yellow-green Vireo,Vireo flavoviridis,yegvir
YHAM,Yellow-headed Amazon,Amazona oratrix,yehpar
YHBL,Yellow-headed Blackbird,Xanthocephalus xanthocephalus,yehbla
YHCA,Yellow-headed Caracara,Daptrius chimachima,yehcar1
YHWA,Yellow-headed Warbler,Teretistris fernandinae,yehwar1
YHOB,Yellow-hooded Blackbird,Chrysomus icterocephalus,yehbla2
YLGU,Yellow-legged Gull,Larus michahellis,yelgul1
YLAM,Yellow-lored Amazon,Amazona xantholora,yelpar1
YNAM,Yellow-naped Amazon,Amazona auropalliata,yenpar1
YOFL,Yellow-olive Flatbill,Tolmomyias sulphurescens,yeofly1
YRCA,Yellow-rumped Cacique,Cacicus cela,yercac1
YRWA,Yellow-rumped Warbler,Setophaga coronata,yerwar
YSBL,Yellow-shouldered Blackbird,Agelaius xanthomus,yesbla1
YSGR,Yellow-shouldered Grassquit,Loxipasser anoxanthus,yesgra1
YTOR,Yellow-tailed Oriole,Icterus mesomelas,yetori1
YTBR,Yellow-thighed Brushfinch,Atlapetes tibialis,yetfin1
YTBU,Yellow-throated Bunting,Emberiza elegans,yetbun1
YTCH,Yellow-throated Chlorospingus,Chlorospingus flavigularis,ytbtan1
YTEU,Yellow-throated Euphonia,Euphonia hirundinacea,yeteup1
YTNT,Yellow-throated Nightingale-Thrush,Catharus dryas,spnthr1
YTTO,Yellow-throated Toucan,Ramphastos ambiguus,bkmtou1
YTVI,Yellow-throated Vireo,Vireo flavifrons,yetvir
YTWA,Yellow-throated Warbler,Setophaga dominica,yetwar
YWCA,Yellow-winged Cacique,Cassiculus melanicterus,yewcac1
YWFL,Yellow-winged Flatbill,Tolmomyias flavotectus,yemfly2
YWTA,Yellow-winged Tanager,Thraupis abbas,yewtan1
YWVI,Yellow-winged Vireo,Vireo carmioli,yewvir1
YEFL,Yellowish Flycatcher,Empidonax flavescens,yelfly1
YEPI,Yellowish Pipit,Anthus chii,yelpip2
YUFL,Yucatan Flycatcher,Myiarchus yucatanensis,yucfly1
YUGN,Yucatan Gnatcatcher,Polioptila albiventris,whlgna3
YUJA,Yucatan Jay,Cyanocorax yucatanicus,yucjay1
YUNI,Yucatan Nightjar,Antrostomus badius,yucnig1
YUPO,Yucatan Poorwill,Nyctiphrynus yucatanicus,yucpoo1
YUVI,Yucatan Vireo,Vireo magister,yucvir
YUWO,Yucatan Woodpecker,Melanerpes pygmaeus,yucwoo
YUWR,Yucatan Wren,Campylorhynchus yucatanicus,yucwre1
ZARA,Zapata Rail,Mustelirallus cerverai,zaprai1
ZASP,Zapata Sparrow,Torreornis inexpectata,zapspa1
ZAWR,Zapata Wren,Ferminia cerverai,zapwre1
ZEBD,Zebra Dove,Geopelia striata,zebdov
ZEAN,Zeledon's Antbird,Hafferia zeledoni,zelant1
ZEND,Zenaida Dove,Zenaida aurita,zendov
ZIPE,Zino's Petrel,Pterodroma madeira,madpet
ZTHA,Zone-tailed Hawk,Buteo albonotatus,zothaw
