alphaCode,commonName,scientificName,ebirdCode
CUSA,Curlew Sandpiper,Calidris ferruginea,cursan
CBTH,Curve-billed Thrasher,Toxostoma curvirostre,cubthr
DATH,Dagua Thrush,Turdus daguae,whtthr2
DAPE,Dark Pewee,Contopus lugubris,darpew1
DBCU,Dark-billed Cuckoo,Coccyzus melacoryphus,dabcuc1
DEJU,Dark-eyed Junco,Junco hyemalis,daejun
DSFL,Dark-sided Flycatcher,Muscicapa sibirica,dasfly
DICK,Dickcissel,Spiza americana,dickci
DWAN,Dot-winged Antwren,Microrhopias quixensis,dowant1
DBGR,Double-banded Graytail,Xenerpestes minlosi,dobgra1
DCCO,Double-crested Cormorant,Nannopterum auritum,doccor
DSTK,Double-striped Thick-knee,Hesperoburhinus bistriatus,dstkne
DTKI,Double-toothed Kite,Harpagus bidentatus,dotkit1
DOVE,Dovekie,Alle alle,doveki
DOWO,Downy Woodpecker,Dryobates pubescens,dowwoo
DMAN,Dull-mantled Antbird,Sipia laemosticta,dumant1
DUNL,Dunlin,Calidris alpina,dunlin
DUAN,Dusky Antbird,Cercomacroides tyrannina,dusant1
DUFL,Dusky Flycatcher,Empidonax oberholseri,dusfly
DUGR,Dusky Grouse,Dendragapus obscurus,dusgro
DUHU,Dusky Hummingbird,Phaeoptila sordida,dushum1
DUNI,Dusky Nightjar,Antrostomus saturatus,dusnig1
DUPI,Dusky Pigeon,Patagioenas goodsoni,duspig2
DUTH,Dusky Thrush,Turdus eunomus,dusthr2
DUWA,Dusky Warbler,Phylloscopus fuscatus,duswar
DBJA,Dusky-backed Jacamar,Brachygalba salmoni,dubjac1
DCFL,Dusky-capped Flycatcher,Myiarchus tuberculifer,ducfly
DFTA,Dusky-faced Tanager,Mitrospingus cassinii,duftan1
DWCU,Dwarf Cuckoo,Coccycua pumila,dwacuc1
DWJA,Dwarf Jay,Cyanolyca nanus,dwajay1
DWVI,Dwarf Vireo,Vireo nelsoni,dwavir1
EADO,Eared Dove,Zenaida auriculata,eardov1
EAGR,Eared Grebe,Podiceps nigricollis,eargre
EAPO,Eared Poorwill,Nyctiphrynus mcleodii,earpoo1
EAQU,Eared Quetzal,Euptilotis neoxenus,earque
EABL,Eastern Bluebird,Sialia sialis,easblu
EACE,Eastern Cattle-Egret,Ardea coromanda,categr2
EACT,Eastern Chat-Tanager,Calyptophilus frugivorus,eactan1
EAKI,Eastern Kingbird,Tyrannus tyrannus,easkin
EAME,Eastern Meadowlark,Sturnella magna,easmea
EAPH,Eastern Phoebe,Sayornis phoebe,easpho
EASO,Eastern Screech-Owl,Megascops asio,easowl1
ESBD,Eastern Spot-billed Duck,Anas zonorhyncha,spbduc
EATO,Eastern Towhee,Pipilo erythrophthalmus,eastow
EWPW,Eastern Whip-poor-will,Antrostomus vociferus,easwpw1
EAWP,Eastern Wood-Pewee,Contopus virens,eawpew
EYWA,Eastern Yellow Wagtail,Motacilla tschutschensis,eaywag
EGGO,Egyptian Goose,Alopochen aegyptiaca,egygoo
ELEU,Elegant Euphonia,Chlorophonia elegantissima,eleeup1
ELQU,Elegant Quail,Callipepla douglasii,elequa
ELTE,Elegant Tern,Thalasseus elegans,eleter1
ELTR,Elegant Trogon,Trogon elegans,eletro2
ELOW,Elf Owl,Micrathene whitneyi,elfowl
EWWA,Elfin-woods Warbler,Setophaga angelae,elwwar1
EMTA,Emerald Tanager,Tangara florida,emetan1
ECHU,Emerald-chinned Hummingbird,Abeillia abeillei,emchum1
EMGO,Emperor Goose,Anser canagicus,empgoo
ESCU,Eskimo Curlew,Numenius borealis,eskcur
EUFL,Euler's Flycatcher,Lathrotriccus euleri,eulfly1
EUBB,Eurasian Blackbird,Turdus merula,eurbla
EUBC,Eurasian Blackcap,Sylvia atricapilla,blackc1
EUBU,Eurasian Bullfinch,Pyrrhula pyrrhula,eurbul
